release_date,id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration
2014-12-30,0fiKmieZ6xzoolzNOC3Fxi,Sekuat Hatimu,50,0,['Last Child'],['1v1khTmozNfxB2ET1Ep288'],0.503,0.679,4,-5.43,1,0.0296,0.0297,0.0,0.105,0.316,176.12,4,284
1985-01-01,1hrNlWZRStu59009HLwSui,Come Back,29,0,"['Misfits', 'Glenn Danzig']","['1cXi8ALPQCBHZbf0EgP4Ey', '71OjDxLFjWGQFpzU1VpN5d']",0.344,0.493,4,-13.821,0,0.0294,0.657,0.834,0.106,0.378,134.402,4,300
1968-01-01,1zLYubgq6pQHjsNID4OQKC,Chinon/Eleanor's Arrival,11,0,['John Barry'],['7ctAOUlIAs7yuMODWE2Fyz'],0.101,0.174,0,-15.498,1,0.0358,0.965,0.924,0.102,0.0359,178.837,3,208
2001-10-22,5rXw7gGsE45poRok7CREVG,Jatt Di Pasand,42,0,['Surjit Bindrakhia'],['2tcB32mxjVzmLcyfGizWNX'],0.776,0.851,4,-9.498,0,0.0484,0.253,7.82e-05,0.145,0.943,162.429,4,284
1961-01-01,2sDMyS3Ts1XfJUDxDbtpAX,Seherde Ağlayan Bülbül,1,0,['Aşık Veysel'],['7rVsiFwBEEmTNoStle68F3'],0.431,0.348,5,-9.648,0,0.0416,0.899,6.22e-06,0.173,0.398,162.388,4,195
1987-12-19,3mvLrdCAnt2Nl2srVM19iL,說聲珍重,27,0,['Dave Wong'],['5XMnJOQbE6OuOvcV8fn3Wg'],0.582,0.324,1,-13.402,0,0.0289,0.727,0.0,0.119,0.215,129.942,4,316
2018-09-11,1q6tAbdVAE0fov7zxuvsbB,Heartbreak,49,1,['Hov1'],['68dW5BU6sdVNf099EylxEt'],0.744,0.812,5,-7.299,0,0.202,0.00358,0.0,0.359,0.416,120.011,4,198
1983-01-01,3AJz1s6k4VwboMobnrVJD3,Lágrimas,16,0,['Orquesta Inmensidad'],['4u5zG4BWKSYIA58HgqZWDg'],0.41,0.728,9,-9.474,1,0.0346,0.597,1.88e-06,0.317,0.884,94.491,4,419
2016-09-27,3EELZDQN6F4eKmSOYnBddR,Sedang Ingin Bercinta,44,0,['Dewa 19'],['48bKH1ugFBhERC1rdojP9d'],0.704,0.917,9,-7.661,1,0.102,0.0466,0.000248,0.0715,0.948,170.018,4,240
1987-01-01,1fDlVm5uuTdYn5CFnSPSwQ,זחמה,12,0,['Samir Shukri'],['5h8bUY14QySv08giSaTKj5'],0.662,0.586,4,-16.182,0,0.0461,0.49,0.0,0.32,0.847,95.553,4,234
1991-01-01,233l5j6b1rAp6wjQnGV5wv,עד תודבר המחלה,9,0,['Carmella Gross & Wagner'],['3Jek5TilNLhv1n7lyOrSCj'],0.635,0.528,5,-15.576,1,0.0497,0.0384,0.0288,0.0624,0.801,143.917,4,177
2014-09-26,6ZFi6rPsI07hJPRm0SrQtr,ทำไมไม่คิดดีดี,33,0,['S.D.F'],['1tqta6kLsADQEasXWXeJaM'],0.57,0.739,9,-5.233,1,0.0341,0.344,0.0,0.116,0.396,137.997,4,296
1995-01-01,67kfVq3npkjohNZr1j2HF6,The Loved One,33,0,['The Loved Ones'],['7gZMm6pQpLhYgWN2cABBP9'],0.49,0.496,4,-11.959,1,0.0293,0.761,0.00237,0.152,0.682,100.063,4,174
2004-05-20,4M8fGw3A8bZiwMT1jOQ9sP,"Dobranoc / Do Ciebie, Aniu, Szłem",28,0,['Łona I Webber'],['6DMuRVdgTNmZCYRlekKWvO'],0.841,0.654,4,-9.669,1,0.634,0.524,0.0,0.349,0.396,88.047,4,296
1938-12-01,7IlKeh80pH1PB122kCI0TG,Patidhan Pran Banchena,0,0,['Abbasuddin Ahmed'],['62yiWDicGEowPUy1V4FuAQ'],0.26,0.21,9,-20.01,1,0.048,0.995,0.96,0.16,0.718,75.726,4,186
2020-04-13,5ISwrjD9HDFTgB77UpRwDj,煙幕,56,0,['Vicky Chen'],['01u3qI3xMGFvktXyRSMGRZ'],0.518,0.277,0,-7.857,1,0.0296,0.751,0.0,0.124,0.293,140.117,4,248
1955-01-01,57dftcBXBX0CLgAF0zTCJd,La ballade de Paris,7,0,['Yves Montand'],['5ru2x3pjrNn67D22BRwlFP'],0.328,0.171,10,-15.1,1,0.0561,0.995,0.159,0.205,0.311,76.201,3,206
1990-04-30,4GD7ccmGitci9TaNghvteB,Heil Hitler/ Heil Hilter,42,0,['Eddie Meduza'],['3cMEiDsx9VpGvF71hUGswS'],0.602,0.817,11,-13.887,1,0.0554,0.381,0.0,0.449,0.392,118.181,4,223
2006-06-20,1mo37kzViKKynppmfub1vr,Pyar Karke,36,0,"['Pritam', 'Labh Janjua']","['1wRPtKGflJrBx9BmLsSwlU', '3DWbhNPz642SpTneSTHJv7']",0.867,0.663,1,-8.502,0,0.163,0.0772,0.0,0.0278,0.892,100.001,4,248
1962-08-01,7jcReGdGSIdPKiqVHX2Ahm,In the Jailhouse,27,0,['Johnny Cash'],['6kACVPfCOnqzgfEF5ryl0x'],0.543,0.438,1,-7.988,1,0.0754,0.727,1.63e-06,0.0669,0.851,182.191,4,141
1975-01-01,4nAcCPoBtzxfzKbE4ca5Cz,Consagração,19,0,['Tião Carreiro & Pardinho'],['2PLF4pjm6A5eztTVbt9ou4'],0.659,0.588,9,-6.032,1,0.141,0.826,0.0,0.247,0.735,134.92,4,218
2012-01-01,4J5oj5WxDe7y2ZP6BYOqPi,いつかきっと・・・,37,0,['EXILE ATSUSHI'],['24r8fVuKK3xtC1L7iSiM4O'],0.61,0.338,9,-6.375,1,0.0329,0.858,0.0,0.102,0.286,127.872,4,250
1997-01-01,7tZckbBO3wtatBWne8YbcM,Low Man's Lyric,47,0,['Metallica'],['2ye2Wgw4gimLv2eAKyk1NB'],0.463,0.685,1,-6.126,1,0.0271,0.00273,0.00029,0.364,0.151,130.898,3,456
2021-01-06,0t1wvcmWjdQP3BGlg68TAB,Background for New Years Resolutions,5,0,['Musica Rilassante & Benessere'],['3SYotF9KVHUPb6HEpdp7aW'],0.726,0.032,11,-19.932,0,0.0753,0.983,0.935,0.103,0.206,74.967,4,109
2009-03-25,13dvtP5TlA7lSgrPv7XPBy,ワンルーム・ディスコ,35,0,['Perfume'],['2XMxWKPKCxoLkSdpCViCnr'],0.647,0.946,2,-2.328,1,0.0409,0.0138,2.19e-06,0.173,0.938,128.002,4,308
2011-01-01,0r8IIRiT5Lva33KKXpvSjb,Piger Med Pistoler,36,0,['Flødeklinikken'],['3URr4mVeKO454UyOuWJrF0'],0.682,0.872,11,-3.853,1,0.0727,0.172,0.000177,0.0803,0.662,119.174,4,189
2005-05-09,5DdzPBuPKRleXXHGSDsY8V,City Of Satan,40,0,['Turbonegro'],['191rVxQbbZ05wcICUSvLkz'],0.449,0.711,9,-1.431,0,0.0471,0.0123,1.54e-06,0.478,0.563,92.023,4,344
